Name,Rating,Reviews,Category,Services,Image,Detail URL,Phone
"Bakso Rusuk Samanhudi","","10","Bakso","Makan di tempat, Bawa pulang, Antar tanpa bertemu","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMVULqY-Ev0L76_1yT8CaBkR4vpFhMoRVDYD7P01wpoY2GGpSCFB4xAio6wKIg4cCZ0PoN3s9f4A7Tf3nm4wb-tmh5ckQYBymuLmetXjg0nL5t8il6WfWt9LpdYDJHgz0x1fUM=w163-h92-k-no","https://www.google.com/maps/place/Bakso+Rusuk+Samanhudi/data=!4m7!3m6!1s0x2e69f52f9a84e2ed:0x924a28838ffd7c29!8m2!3d-6.1624711!4d106.8299171!16s%2Fg%2F11jmxsnqjz!19sChIJ7eKEmi_1aS4RKXz9j4MoSpI?authuser=0&hl=id&rclk=1","0812-9170-3970"
"Bakso Rusuk Samanhudi Kelapa Gading","","1","Restoran","Makan di tempat, Bawa pulang","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaoJYDM0U_OHY32QyEeDrifixLaWfRNuE8jlPkft_3jxfrW3UealuTKCBc63dHY2u80RRPacFv0n0ztlJWZXnUEzk0P8h65p_cd40cZ3pdI1Q9BOskAl_tvg5rOXD5EnqLu3FXsA=w80-h106-k-no","https://www.google.com/maps/place/Bakso+Rusuk+Samanhudi+Kelapa+Gading/data=!4m7!3m6!1s0x2e69f534019ae2a3:0xffdd351d83ca9c60!8m2!3d-6.1581583!4d106.9065467!16s%2Fg%2F11tk1xq674!19sChIJo-KaATT1aS4RYJzKgx013f8?authuser=0&hl=id&rclk=1","0821-4685-6460"
"BAKSO SOLO SAMRAT TEBET","","2","Bakso","Makan di tempat, Bawa pulang, Antar tanpa bertemu","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq7BWJx_wW_qyUMH7aqia54mthVHcgTFGZHU-EOwZxjrDSLtFBlztyxFJEFMeZmqx5jdbWD5O7y3SufLYCEjkHg2KV3aO8qQopovHRKX5XY9Dkbb2szgqtoPfaCkyHwIQXm6bvv=w128-h92-k-no","https://www.google.com/maps/place/BAKSO+SOLO+SAMRAT+TEBET/data=!4m7!3m6!1s0x2e69f39a897d1cdb:0xc446e06a11a5ef79!8m2!3d-6.2286251!4d106.854512!16s%2Fg%2F11g897g429!19sChIJ2xx9iZrzaS4Ree-lEWrgRsQ?authuser=0&hl=id&rclk=1",""
"Bakso Rusuk Samanhudi Tanah Abang","","1","Bakso","Makan di tempat, Bawa pulang, Antar tanpa bertemu","https://lh3.googleusercontent.com/gps-cs-s/AC9h4np9T4pboAxaIic_DOXKo1sHJtZV0PK4yvjjVTFmSnKaux3HxhRVYSMPTLm-9Tf7UNqEXg7d24Muy9nFXXKVx2Nyfw7lkSGdke3J6ONKi9SzbWqFtRel-ZTLcAC3SgxoKDNbSVqxUA=w80-h106-k-no","https://www.google.com/maps/place/Bakso+Rusuk+Samanhudi+Tanah+Abang/data=!4m7!3m6!1s0x2e69f735bc182da3:0x48e9e229ab9c6c8d!8m2!3d-6.1944469!4d106.8146336!16s%2Fg%2F11h07y2kps!19sChIJoy0YvDX3aS4RjWycqyni6Ug?authuser=0&hl=id&rclk=1","0813-8529-9090"
"Bakso Rusuk Samanhudi Gandaria","","1","Bakso","Makan di tempat, Bawa pulang","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZta3roCAU_7sIg2iQeablhLHylghbpqv77Exx9pNmmWmvDzXc02dr0lkVWkiWeN7XCFhMzElIJHFr8tOp25xOY3oDvgfttxgdvOYtFg5_nS4eOC9IjFHYWFI2fZgLMhlLvpu9J9vGDcGv=w80-h142-k-no","https://www.google.com/maps/place/Bakso+Rusuk+Samanhudi+Gandaria/data=!4m7!3m6!1s0x2e69f158d4dcb071:0x97ec840debc4ef1d!8m2!3d-6.2459378!4d106.7840512!16s%2Fg%2F11ftgrwgkc!19sChIJcbDc1FjxaS4RHe_E6w2E7Jc?authuser=0&hl=id&rclk=1","0812-1277-9409"
"Bakso Rusuk Samanhudi Tanjung Duren","","2","Bakso","Makan di tempat, Bawa pulang, Antar tanpa bertemu","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrxU9G9jN97zMuSfH5cwT-fM1KgkvNGWCxYcSy4ndlpTLLJGu6Rg6KKBgYQhtwIQqV6zGd5u_4epXUnnAICbfugjVRI0Arzs5ovb9Yo9KJsYicRy2lqm1yY8NDl3gRXRBy0iLKI=w204-h92-k-no","https://www.google.com/maps/place/Bakso+Rusuk+Samanhudi+Tanjung+Duren/data=!4m7!3m6!1s0x2e69f659364f557d:0x34374310d0b156e6!8m2!3d-6.1739556!4d106.7878404!16s%2Fg%2F11gcfzr5df!19sChIJfVVPNln2aS4R5lax0BBDNzQ?authuser=0&hl=id&rclk=1","0812-1166-1275"
"Bakso Mas Kumis","","8","Pujasera","Makan di tempat, Bawa pulang","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nphUGiJmJ4viLL-oi8EtnefDlHrEAGmtSzcO0qWSm_jMhf4LhuzWT4sbPrIDhZ5AkoSKp_wo5fPI6cB8Mk_4d3v0qNKS2_fF0fSrd9A18cTsD2QiaiRt51oCJITrblpQilOW32Mcg=w199-h92-k-no","https://www.google.com/maps/place/Bakso+Mas+Kumis/data=!4m7!3m6!1s0x2e69f691131664d9:0x1cba0835701f6a8!8m2!3d-6.19078!4d106.801716!16s%2Fg%2F1hm6j90wb!19sChIJ2WQWE5H2aS4RqPYBV4OgywE?authuser=0&hl=id&rclk=1",""
"Bakso Rusuk Samanhudi Sabang","","1","Restoran","Makan di tempat, Ambil di tepi jalan, Pesan antar","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrk0boYKWG3Oq1Dm5GhYkiUzae4_XFScHMICiddFLlESQi0ugNniLf1VjQa0K3TPXOFC7Jys0nXIdoT8Dbd-XABN2hwk2zBI6toDm-RBZ5JhKqgC3RrD4Gbn2kigZME57DLm-Axd3wQTdw=w80-h142-k-no","https://www.google.com/maps/place/Bakso+Rusuk+Samanhudi+Sabang/data=!4m7!3m6!1s0x2e69f512365a2c7d:0x7f46e0ad51774fa9!8m2!3d-6.186119!4d106.8252832!16s%2Fg%2F11kbj1_4px!19sChIJfSxaNhL1aS4RqU93Ua3gRn8?authuser=0&hl=id&rclk=1","0812-1049-8082"
"Bakso Titoti Wonogiri Cabang Pasar Minggu","","9","Bakso","Makan di tempat, Bawa pulang, Antar tanpa bertemu","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqR7Zgs5lA_kNHM7KotLQh9_Xc-KWHdxmHP7EH0rS49UGTo6sGfUUQYHPM4zGYNaDerIz0Tff7SJWkKicM0FG7HDfUYkh7hYGPgXffeQqRk30cejDnCDAYoOg2n2NhrTZZR1Tk-8A=w122-h92-k-no","https://www.google.com/maps/place/Bakso+Titoti+Wonogiri+Cabang+Pasar+Minggu/data=!4m7!3m6!1s0x2e69f26a77da45e9:0xec553ea5f2de50a5!8m2!3d-6.2698674!4d106.846625!16s%2Fg%2F12ml2y1ll!19sChIJ6UXad2ryaS4RpVDe8qU-Vew?authuser=0&hl=id&rclk=1","0813-2927-5321"
"Bakso Rusuk Joss Kemayoran","","1","Restoran","Makan di tempat, Bawa pulang, Antar tanpa bertemu","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npvVRzx4z9np_9ZLX5xjc1nbYDse8bXzGO-TZwkKhHOzp6wIBqccvxUV_2Uqzb6mXH94bExJ1_Tr6wOLhaz9VSxAOdrn519nASVTzNQ08V-h8MwLhJ9kxoERhWp985f31rZRYGQMw=w163-h92-k-no","https://www.google.com/maps/place/Bakso+Rusuk+Joss+Kemayoran/data=!4m7!3m6!1s0x2e69f5865603e7c3:0x8f03f8772a2c8143!8m2!3d-6.1608929!4d106.8493366!16s%2Fg%2F11tn2s9c16!19sChIJw-cDVob1aS4RQ4EsKnf4A48?authuser=0&hl=id&rclk=1","0856-5550-7775"
